Simulation_ID,Player_Count,Director_Count,Shadow_Count,Guardian_Count,Investigator_Count,Wildcard_Count,Citizen_Count,Guardian_Protections_Quota,Investigator_Checks_Quota,Strategy_Name,Total_Rounds,Chronological_Event_Log,Winner_Team,Winning_Reason,Survival_Rate_Pct,Final_Alive_Players
"SIM_011","6","1","1","1","1","0","2","1","1","Optimal Citizen Deduction","12","Day 1: Player_1 voted out (Role: VILLAGER, Team: VILLAGERS)","IN_PROGRESS","Unknown","83.3%","Player_2 (POLICE); Player_3 (GODFATHER); Player_4 (MAFIA); Player_5 (DOCTOR); Player_6 (VILLAGER)"
"SIM_012","6","1","1","1","1","0","2","1","1","Shadow Stealth Dominance","12","Day 1: Player_1 voted out (Role: DOCTOR, Team: VILLAGERS)","IN_PROGRESS","Unknown","83.3%","Player_2 (POLICE); Player_3 (MAFIA); Player_4 (VILLAGER); Player_5 (GODFATHER); Player_6 (VILLAGER)"
"SIM_013","6","1","1","1","1","0","2","1","1","Wildcard Trickster Victory","12","Day 1: Player_1 voted out (Role: DOCTOR, Team: VILLAGERS)","IN_PROGRESS","Unknown","83.3%","Player_2 (MAFIA); Player_3 (GODFATHER); Player_4 (VILLAGER); Player_5 (POLICE); Player_6 (VILLAGER)"
"SIM_014","6","1","1","1","1","0","2","1","1","Guardian Protection Clutch","12","Day 1: Player_1 voted out (Role: DOCTOR, Team: VILLAGERS)","IN_PROGRESS","Unknown","83.3%","Player_2 (POLICE); Player_3 (VILLAGER); Player_4 (GODFATHER); Player_5 (MAFIA); Player_6 (VILLAGER)"
"SIM_015","6","1","1","1","1","0","2","1","1","Tied Vote Deliberation Draw","12","Day 1: Voting TIED between Player_1 and Player_2 (No Elimination)","IN_PROGRESS","Unknown","100.0%","Player_1 (POLICE); Player_2 (DOCTOR); Player_3 (MAFIA); Player_4 (VILLAGER); Player_5 (GODFATHER); Player_6 (VILLAGER)"
"SIM_016","7","1","1","1","1","0","3","1","1","Optimal Citizen Deduction","12","Day 1: Player_1 voted out (Role: GODFATHER, Team: MAFIA)","IN_PROGRESS","Unknown","85.7%","Player_2 (VILLAGER); Player_3 (VILLAGER); Player_4 (MAFIA); Player_5 (DOCTOR); Player_6 (VILLAGER); Player_7 (POLICE)"
"SIM_017","7","1","1","1","1","0","3","1","1","Shadow Stealth Dominance","12","Day 1: Player_1 voted out (Role: VILLAGER, Team: VILLAGERS)","IN_PROGRESS","Unknown","85.7%","Player_2 (MAFIA); Player_3 (POLICE); Player_4 (VILLAGER); Player_5 (DOCTOR); Player_6 (GODFATHER); Player_7 (VILLAGER)"
"SIM_018","7","1","1","1","1","0","3","1","1","Wildcard Trickster Victory","12","Day 1: Player_1 voted out (Role: VILLAGER, Team: VILLAGERS)","IN_PROGRESS","Unknown","85.7%","Player_2 (VILLAGER); Player_3 (VILLAGER); Player_4 (POLICE); Player_5 (DOCTOR); Player_6 (GODFATHER); Player_7 (MAFIA)"
"SIM_019","7","1","1","1","1","0","3","1","1","Guardian Protection Clutch","12","Day 1: Player_1 voted out (Role: VILLAGER, Team: VILLAGERS)","IN_PROGRESS","Unknown","85.7%","Player_2 (DOCTOR); Player_3 (GODFATHER); Player_4 (VILLAGER); Player_5 (MAFIA); Player_6 (POLICE); Player_7 (VILLAGER)"
"SIM_020","7","1","1","1","1","0","3","1","1","Tied Vote Deliberation Draw","12","Day 1: Voting TIED between Player_1 and Player_2 (No Elimination)","IN_PROGRESS","Unknown","85.7%","Player_1 (VILLAGER); Player_3 (VILLAGER); Player_4 (MAFIA); Player_5 (GODFATHER); Player_6 (POLICE); Player_7 (DOCTOR)"
"SIM_021","8","1","2","1","1","0","3","1","1","Optimal Citizen Deduction","12","Day 1: Player_1 voted out (Role: VILLAGER, Team: VILLAGERS)","IN_PROGRESS","Unknown","87.5%","Player_2 (MAFIA); Player_3 (VILLAGER); Player_4 (DOCTOR); Player_5 (POLICE); Player_6 (VILLAGER); Player_7 (GODFATHER); Player_8 (MAFIA)"
"SIM_022","8","1","2","1","1","0","3","1","1","Shadow Stealth Dominance","12","Day 1: Player_1 voted out (Role: VILLAGER, Team: VILLAGERS)","IN_PROGRESS","Unknown","87.5%","Player_2 (DOCTOR); Player_3 (MAFIA); Player_4 (VILLAGER); Player_5 (MAFIA); Player_6 (VILLAGER); Player_7 (POLICE); Player_8 (GODFATHER)"
"SIM_023","8","1","2","1","1","0","3","1","1","Wildcard Trickster Victory","12","Day 1: Player_1 voted out (Role: VILLAGER, Team: VILLAGERS)","IN_PROGRESS","Unknown","87.5%","Player_2 (VILLAGER); Player_3 (DOCTOR); Player_4 (MAFIA); Player_5 (POLICE); Player_6 (GODFATHER); Player_7 (MAFIA); Player_8 (VILLAGER)"
"SIM_024","8","1","2","1","1","0","3","1","1","Guardian Protection Clutch","12","Day 1: Player_1 voted out (Role: VILLAGER, Team: VILLAGERS)","IN_PROGRESS","Unknown","87.5%","Player_2 (POLICE); Player_3 (VILLAGER); Player_4 (DOCTOR); Player_5 (MAFIA); Player_6 (MAFIA); Player_7 (GODFATHER); Player_8 (VILLAGER)"
"SIM_025","8","1","2","1","1","0","3","1","1","Tied Vote Deliberation Draw","12","Day 1: Voting TIED between Player_1 and Player_2 (No Elimination)","IN_PROGRESS","Unknown","100.0%","Player_1 (VILLAGER); Player_2 (GODFATHER); Player_3 (VILLAGER); Player_4 (MAFIA); Player_5 (MAFIA); Player_6 (VILLAGER); Player_7 (POLICE); Player_8 (DOCTOR)"
"SIM_026","9","1","2","1","1","1","3","1","1","Optimal Citizen Deduction","12","Day 1: Player_1 voted out (Role: VILLAGER, Team: VILLAGERS)","IN_PROGRESS","Unknown","88.9%","Player_2 (VILLAGER); Player_3 (MAFIA); Player_4 (DOCTOR); Player_5 (VILLAGER); Player_6 (VILLAGER); Player_7 (MAFIA); Player_8 (POLICE); Player_9 (GODFATHER)"
"SIM_027","9","1","2","1","1","1","3","1","1","Shadow Stealth Dominance","12","Day 1: Player_1 voted out (Role: MAFIA, Team: MAFIA)","IN_PROGRESS","Unknown","88.9%","Player_2 (VILLAGER); Player_3 (VILLAGER); Player_4 (MAFIA); Player_5 (VILLAGER); Player_6 (GODFATHER); Player_7 (VILLAGER); Player_8 (DOCTOR); Player_9 (POLICE)"
"SIM_028","9","1","2","1","1","1","3","1","1","Wildcard Trickster Victory","12","Day 1: Player_1 voted out (Role: GODFATHER, Team: MAFIA)","IN_PROGRESS","Unknown","88.9%","Player_2 (VILLAGER); Player_3 (DOCTOR); Player_4 (VILLAGER); Player_5 (MAFIA); Player_6 (VILLAGER); Player_7 (MAFIA); Player_8 (POLICE); Player_9 (VILLAGER)"
"SIM_029","9","1","2","1","1","1","3","1","1","Guardian Protection Clutch","12","Day 1: Player_1 voted out (Role: POLICE, Team: VILLAGERS)","IN_PROGRESS","Unknown","88.9%","Player_2 (VILLAGER); Player_3 (DOCTOR); Player_4 (VILLAGER); Player_5 (VILLAGER); Player_6 (MAFIA); Player_7 (MAFIA); Player_8 (GODFATHER); Player_9 (VILLAGER)"
"SIM_030","9","1","2","1","1","1","3","1","1","Tied Vote Deliberation Draw","12","Day 1: Voting TIED between Player_1 and Player_2 (No Elimination)","IN_PROGRESS","Unknown","88.9%","Player_1 (POLICE); Player_3 (VILLAGER); Player_4 (VILLAGER); Player_5 (GODFATHER); Player_6 (MAFIA); Player_7 (VILLAGER); Player_8 (VILLAGER); Player_9 (MAFIA)"
"SIM_031","10","1","2","1","1","1","4","1","2","Optimal Citizen Deduction","12","Day 1: Player_1 voted out (Role: VILLAGER, Team: VILLAGERS)","IN_PROGRESS","Unknown","90.0%","Player_2 (MAFIA); Player_3 (MAFIA); Player_4 (VILLAGER); Player_5 (VILLAGER); Player_6 (GODFATHER); Player_7 (VILLAGER); Player_8 (POLICE); Player_9 (DOCTOR); Player_10 (VILLAGER)"
"SIM_032","10","1","2","1","1","1","4","1","2","Shadow Stealth Dominance","12","Day 1: Player_1 voted out (Role: VILLAGER, Team: VILLAGERS)","IN_PROGRESS","Unknown","90.0%","Player_2 (VILLAGER); Player_3 (GODFATHER); Player_4 (VILLAGER); Player_5 (VILLAGER); Player_6 (VILLAGER); Player_7 (POLICE); Player_8 (MAFIA); Player_9 (MAFIA); Player_10 (DOCTOR)"
"SIM_033","10","1","2","1","1","1","4","1","2","Wildcard Trickster Victory","12","Day 1: Player_1 voted out (Role: MAFIA, Team: MAFIA)","IN_PROGRESS","Unknown","90.0%","Player_2 (DOCTOR); Player_3 (VILLAGER); Player_4 (VILLAGER); Player_5 (POLICE); Player_6 (GODFATHER); Player_7 (VILLAGER); Player_8 (VILLAGER); Player_9 (VILLAGER); Player_10 (MAFIA)"
"SIM_034","10","1","2","1","1","1","4","1","2","Guardian Protection Clutch","12","Day 1: Player_1 voted out (Role: MAFIA, Team: MAFIA)","IN_PROGRESS","Unknown","90.0%","Player_2 (VILLAGER); Player_3 (VILLAGER); Player_4 (POLICE); Player_5 (MAFIA); Player_6 (GODFATHER); Player_7 (DOCTOR); Player_8 (VILLAGER); Player_9 (VILLAGER); Player_10 (VILLAGER)"
"SIM_035","10","1","2","1","1","1","4","1","2","Tied Vote Deliberation Draw","12","Day 1: Voting TIED between Player_1 and Player_2 (No Elimination)","IN_PROGRESS","Unknown","100.0%","Player_1 (MAFIA); Player_2 (VILLAGER); Player_3 (MAFIA); Player_4 (VILLAGER); Player_5 (VILLAGER); Player_6 (POLICE); Player_7 (DOCTOR); Player_8 (VILLAGER); Player_9 (GODFATHER); Player_10 (VILLAGER)"
"SIM_036","11","1","2","1","1","1","5","1","2","Optimal Citizen Deduction","12","Day 1: Player_1 voted out (Role: VILLAGER, Team: VILLAGERS)","IN_PROGRESS","Unknown","90.9%","Player_2 (VILLAGER); Player_3 (DOCTOR); Player_4 (VILLAGER); Player_5 (GODFATHER); Player_6 (MAFIA); Player_7 (POLICE); Player_8 (VILLAGER); Player_9 (MAFIA); Player_10 (VILLAGER); Player_11 (VILLAGER)"
"SIM_037","11","1","2","1","1","1","5","1","2","Shadow Stealth Dominance","12","Day 1: Player_1 voted out (Role: GODFATHER, Team: MAFIA)","IN_PROGRESS","Unknown","90.9%","Player_2 (MAFIA); Player_3 (VILLAGER); Player_4 (VILLAGER); Player_5 (VILLAGER); Player_6 (POLICE); Player_7 (MAFIA); Player_8 (DOCTOR); Player_9 (VILLAGER); Player_10 (VILLAGER); Player_11 (VILLAGER)"
"SIM_038","11","1","2","1","1","1","5","1","2","Wildcard Trickster Victory","12","Day 1: Player_1 voted out (Role: VILLAGER, Team: VILLAGERS)","IN_PROGRESS","Unknown","90.9%","Player_2 (GODFATHER); Player_3 (POLICE); Player_4 (MAFIA); Player_5 (VILLAGER); Player_6 (VILLAGER); Player_7 (DOCTOR); Player_8 (VILLAGER); Player_9 (MAFIA); Player_10 (VILLAGER); Player_11 (VILLAGER)"
"SIM_039","11","1","2","1","1","1","5","1","2","Guardian Protection Clutch","12","Day 1: Player_1 voted out (Role: POLICE, Team: VILLAGERS)","IN_PROGRESS","Unknown","90.9%","Player_2 (VILLAGER); Player_3 (VILLAGER); Player_4 (VILLAGER); Player_5 (MAFIA); Player_6 (GODFATHER); Player_7 (VILLAGER); Player_8 (DOCTOR); Player_9 (MAFIA); Player_10 (VILLAGER); Player_11 (VILLAGER)"
"SIM_040","11","1","2","1","1","1","5","1","2","Tied Vote Deliberation Draw","12","Day 1: Voting TIED between Player_1 and Player_2 (No Elimination)","IN_PROGRESS","Unknown","90.9%","Player_1 (VILLAGER); Player_3 (VILLAGER); Player_4 (GODFATHER); Player_5 (MAFIA); Player_6 (MAFIA); Player_7 (POLICE); Player_8 (VILLAGER); Player_9 (VILLAGER); Player_10 (DOCTOR); Player_11 (VILLAGER)"
"SIM_041","12","1","2","1","1","1","6","2","2","Optimal Citizen Deduction","12","Day 1: Player_1 voted out (Role: VILLAGER, Team: VILLAGERS)","IN_PROGRESS","Unknown","91.7%","Player_2 (VILLAGER); Player_3 (MAFIA); Player_4 (VILLAGER); Player_5 (MAFIA); Player_6 (GODFATHER); Player_7 (DOCTOR); Player_8 (VILLAGER); Player_9 (VILLAGER); Player_10 (VILLAGER); Player_11 (POLICE); Player_12 (VILLAGER)"
"SIM_042","12","1","2","1","1","1","6","2","2","Shadow Stealth Dominance","12","Day 1: Player_1 voted out (Role: MAFIA, Team: MAFIA)","IN_PROGRESS","Unknown","91.7%","Player_2 (VILLAGER); Player_3 (DOCTOR); Player_4 (POLICE); Player_5 (VILLAGER); Player_6 (GODFATHER); Player_7 (MAFIA); Player_8 (VILLAGER); Player_9 (VILLAGER); Player_10 (VILLAGER); Player_11 (VILLAGER); Player_12 (VILLAGER)"
"SIM_043","12","1","2","1","1","1","6","2","2","Wildcard Trickster Victory","12","Day 1: Player_1 voted out (Role: MAFIA, Team: MAFIA)","IN_PROGRESS","Unknown","91.7%","Player_2 (VILLAGER); Player_3 (VILLAGER); Player_4 (GODFATHER); Player_5 (VILLAGER); Player_6 (VILLAGER); Player_7 (VILLAGER); Player_8 (VILLAGER); Player_9 (MAFIA); Player_10 (POLICE); Player_11 (VILLAGER); Player_12 (DOCTOR)"
"SIM_044","12","1","2","1","1","1","6","2","2","Guardian Protection Clutch","12","Day 1: Player_1 voted out (Role: MAFIA, Team: MAFIA)","IN_PROGRESS","Unknown","91.7%","Player_2 (VILLAGER); Player_3 (VILLAGER); Player_4 (DOCTOR); Player_5 (VILLAGER); Player_6 (VILLAGER); Player_7 (GODFATHER); Player_8 (VILLAGER); Player_9 (VILLAGER); Player_10 (VILLAGER); Player_11 (MAFIA); Player_12 (POLICE)"
"SIM_045","12","1","2","1","1","1","6","2","2","Tied Vote Deliberation Draw","12","Day 1: Voting TIED between Player_1 and Player_2 (No Elimination)","IN_PROGRESS","Unknown","100.0%","Player_1 (VILLAGER); Player_2 (DOCTOR); Player_3 (VILLAGER); Player_4 (MAFIA); Player_5 (VILLAGER); Player_6 (VILLAGER); Player_7 (VILLAGER); Player_8 (MAFIA); Player_9 (VILLAGER); Player_10 (VILLAGER); Player_11 (POLICE); Player_12 (GODFATHER)"
"SIM_046","13","1","3","1","1","1","6","2","2","Optimal Citizen Deduction","12","Day 1: Player_1 voted out (Role: DOCTOR, Team: VILLAGERS)","IN_PROGRESS","Unknown","92.3%","Player_2 (MAFIA); Player_3 (POLICE); Player_4 (VILLAGER); Player_5 (MAFIA); Player_6 (MAFIA); Player_7 (VILLAGER); Player_8 (VILLAGER); Player_9 (VILLAGER); Player_10 (VILLAGER); Player_11 (VILLAGER); Player_12 (VILLAGER); Player_13 (GODFATHER)"
"SIM_047","13","1","3","1","1","1","6","2","2","Shadow Stealth Dominance","12","Day 1: Player_1 voted out (Role: POLICE, Team: VILLAGERS)","IN_PROGRESS","Unknown","92.3%","Player_2 (VILLAGER); Player_3 (VILLAGER); Player_4 (DOCTOR); Player_5 (MAFIA); Player_6 (MAFIA); Player_7 (MAFIA); Player_8 (VILLAGER); Player_9 (VILLAGER); Player_10 (VILLAGER); Player_11 (VILLAGER); Player_12 (GODFATHER); Player_13 (VILLAGER)"
"SIM_048","13","1","3","1","1","1","6","2","2","Wildcard Trickster Victory","12","Day 1: Player_1 voted out (Role: POLICE, Team: VILLAGERS)","IN_PROGRESS","Unknown","92.3%","Player_2 (VILLAGER); Player_3 (GODFATHER); Player_4 (DOCTOR); Player_5 (MAFIA); Player_6 (MAFIA); Player_7 (VILLAGER); Player_8 (VILLAGER); Player_9 (VILLAGER); Player_10 (VILLAGER); Player_11 (VILLAGER); Player_12 (MAFIA); Player_13 (VILLAGER)"
"SIM_049","13","1","3","1","1","1","6","2","2","Guardian Protection Clutch","12","Day 1: Player_1 voted out (Role: VILLAGER, Team: VILLAGERS)","IN_PROGRESS","Unknown","92.3%","Player_2 (GODFATHER); Player_3 (VILLAGER); Player_4 (VILLAGER); Player_5 (VILLAGER); Player_6 (VILLAGER); Player_7 (POLICE); Player_8 (MAFIA); Player_9 (DOCTOR); Player_10 (MAFIA); Player_11 (MAFIA); Player_12 (VILLAGER); Player_13 (VILLAGER)"
"SIM_050","13","1","3","1","1","1","6","2","2","Tied Vote Deliberation Draw","12","Day 1: Voting TIED between Player_1 and Player_2 (No Elimination)","IN_PROGRESS","Unknown","92.3%","Player_1 (VILLAGER); Player_3 (POLICE); Player_4 (VILLAGER); Player_5 (MAFIA); Player_6 (VILLAGER); Player_7 (VILLAGER); Player_8 (MAFIA); Player_9 (DOCTOR); Player_10 (VILLAGER); Player_11 (GODFATHER); Player_12 (VILLAGER); Player_13 (VILLAGER)"
"SIM_051","14","1","3","1","1","1","7","2","2","Optimal Citizen Deduction","12","Day 1: Player_1 voted out (Role: GODFATHER, Team: MAFIA)","IN_PROGRESS","Unknown","92.9%","Player_2 (VILLAGER); Player_3 (VILLAGER); Player_4 (VILLAGER); Player_5 (VILLAGER); Player_6 (VILLAGER); Player_7 (MAFIA); Player_8 (POLICE); Player_9 (DOCTOR); Player_10 (VILLAGER); Player_11 (VILLAGER); Player_12 (MAFIA); Player_13 (VILLAGER); Player_14 (MAFIA)"
"SIM_052","14","1","3","1","1","1","7","2","2","Shadow Stealth Dominance","12","Day 1: Player_1 voted out (Role: VILLAGER, Team: VILLAGERS)","IN_PROGRESS","Unknown","92.9%","Player_2 (MAFIA); Player_3 (MAFIA); Player_4 (VILLAGER); Player_5 (VILLAGER); Player_6 (VILLAGER); Player_7 (VILLAGER); Player_8 (VILLAGER); Player_9 (VILLAGER); Player_10 (POLICE); Player_11 (GODFATHER); Player_12 (VILLAGER); Player_13 (MAFIA); Player_14 (DOCTOR)"
"SIM_053","14","1","3","1","1","1","7","2","2","Wildcard Trickster Victory","12","Day 1: Player_1 voted out (Role: VILLAGER, Team: VILLAGERS)","IN_PROGRESS","Unknown","92.9%","Player_2 (GODFATHER); Player_3 (VILLAGER); Player_4 (DOCTOR); Player_5 (VILLAGER); Player_6 (VILLAGER); Player_7 (VILLAGER); Player_8 (VILLAGER); Player_9 (POLICE); Player_10 (MAFIA); Player_11 (MAFIA); Player_12 (VILLAGER); Player_13 (VILLAGER); Player_14 (MAFIA)"
"SIM_054","14","1","3","1","1","1","7","2","2","Guardian Protection Clutch","12","Day 1: Player_1 voted out (Role: POLICE, Team: VILLAGERS)","IN_PROGRESS","Unknown","92.9%","Player_2 (VILLAGER); Player_3 (VILLAGER); Player_4 (GODFATHER); Player_5 (MAFIA); Player_6 (VILLAGER); Player_7 (VILLAGER); Player_8 (VILLAGER); Player_9 (MAFIA); Player_10 (MAFIA); Player_11 (DOCTOR); Player_12 (VILLAGER); Player_13 (VILLAGER); Player_14 (VILLAGER)"
"SIM_055","14","1","3","1","1","1","7","2","2","Tied Vote Deliberation Draw","12","Day 1: Voting TIED between Player_1 and Player_2 (No Elimination)","IN_PROGRESS","Unknown","100.0%","Player_1 (VILLAGER); Player_2 (VILLAGER); Player_3 (MAFIA); Player_4 (GODFATHER); Player_5 (MAFIA); Player_6 (VILLAGER); Player_7 (VILLAGER); Player_8 (VILLAGER); Player_9 (DOCTOR); Player_10 (POLICE); Player_11 (MAFIA); Player_12 (VILLAGER); Player_13 (VILLAGER); Player_14 (VILLAGER)"
"SIM_056","15","1","3","1","1","1","8","2","2","Optimal Citizen Deduction","12","Day 1: Player_1 voted out (Role: VILLAGER, Team: VILLAGERS)","IN_PROGRESS","Unknown","93.3%","Player_2 (VILLAGER); Player_3 (MAFIA); Player_4 (POLICE); Player_5 (DOCTOR); Player_6 (MAFIA); Player_7 (MAFIA); Player_8 (VILLAGER); Player_9 (VILLAGER); Player_10 (VILLAGER); Player_11 (VILLAGER); Player_12 (VILLAGER); Player_13 (VILLAGER); Player_14 (VILLAGER); Player_15 (GODFATHER)"
"SIM_057","15","1","3","1","1","1","8","2","2","Shadow Stealth Dominance","12","Day 1: Player_1 voted out (Role: DOCTOR, Team: VILLAGERS)","IN_PROGRESS","Unknown","93.3%","Player_2 (VILLAGER); Player_3 (MAFIA); Player_4 (VILLAGER); Player_5 (VILLAGER); Player_6 (VILLAGER); Player_7 (VILLAGER); Player_8 (POLICE); Player_9 (GODFATHER); Player_10 (VILLAGER); Player_11 (VILLAGER); Player_12 (MAFIA); Player_13 (MAFIA); Player_14 (VILLAGER); Player_15 (VILLAGER)"
"SIM_058","15","1","3","1","1","1","8","2","2","Wildcard Trickster Victory","12","Day 1: Player_1 voted out (Role: VILLAGER, Team: VILLAGERS)","IN_PROGRESS","Unknown","93.3%","Player_2 (GODFATHER); Player_3 (VILLAGER); Player_4 (VILLAGER); Player_5 (MAFIA); Player_6 (VILLAGER); Player_7 (VILLAGER); Player_8 (DOCTOR); Player_9 (MAFIA); Player_10 (MAFIA); Player_11 (VILLAGER); Player_12 (VILLAGER); Player_13 (VILLAGER); Player_14 (VILLAGER); Player_15 (POLICE)"
"SIM_059","15","1","3","1","1","1","8","2","2","Guardian Protection Clutch","12","Day 1: Player_1 voted out (Role: VILLAGER, Team: VILLAGERS)","IN_PROGRESS","Unknown","93.3%","Player_2 (VILLAGER); Player_3 (VILLAGER); Player_4 (MAFIA); Player_5 (VILLAGER); Player_6 (MAFIA); Player_7 (GODFATHER); Player_8 (VILLAGER); Player_9 (MAFIA); Player_10 (DOCTOR); Player_11 (VILLAGER); Player_12 (VILLAGER); Player_13 (VILLAGER); Player_14 (POLICE); Player_15 (VILLAGER)"
"SIM_060","15","1","3","1","1","1","8","2","2","Tied Vote Deliberation Draw","12","Day 1: Voting TIED between Player_1 and Player_2 (No Elimination)","IN_PROGRESS","Unknown","93.3%","Player_1 (VILLAGER); Player_3 (MAFIA); Player_4 (VILLAGER); Player_5 (VILLAGER); Player_6 (VILLAGER); Player_7 (VILLAGER); Player_8 (MAFIA); Player_9 (MAFIA); Player_10 (GODFATHER); Player_11 (DOCTOR); Player_12 (VILLAGER); Player_13 (POLICE); Player_14 (VILLAGER); Player_15 (VILLAGER)"
"SIM_061","16","1","4","1","1","1","8","2","3","Optimal Citizen Deduction","12","Day 1: Player_1 voted out (Role: VILLAGER, Team: VILLAGERS)","IN_PROGRESS","Unknown","93.8%","Player_2 (MAFIA); Player_3 (VILLAGER); Player_4 (VILLAGER); Player_5 (VILLAGER); Player_6 (VILLAGER); Player_7 (VILLAGER); Player_8 (VILLAGER); Player_9 (GODFATHER); Player_10 (VILLAGER); Player_11 (MAFIA); Player_12 (VILLAGER); Player_13 (POLICE); Player_14 (MAFIA); Player_15 (DOCTOR); Player_16 (MAFIA)"
"SIM_062","16","1","4","1","1","1","8","2","3","Shadow Stealth Dominance","12","Day 1: Player_1 voted out (Role: VILLAGER, Team: VILLAGERS)","IN_PROGRESS","Unknown","93.8%","Player_2 (MAFIA); Player_3 (VILLAGER); Player_4 (MAFIA); Player_5 (VILLAGER); Player_6 (DOCTOR); Player_7 (VILLAGER); Player_8 (VILLAGER); Player_9 (MAFIA); Player_10 (VILLAGER); Player_11 (MAFIA); Player_12 (GODFATHER); Player_13 (VILLAGER); Player_14 (POLICE); Player_15 (VILLAGER); Player_16 (VILLAGER)"
"SIM_063","16","1","4","1","1","1","8","2","3","Wildcard Trickster Victory","12","Day 1: Player_1 voted out (Role: MAFIA, Team: MAFIA)","IN_PROGRESS","Unknown","93.8%","Player_2 (GODFATHER); Player_3 (POLICE); Player_4 (VILLAGER); Player_5 (VILLAGER); Player_6 (VILLAGER); Player_7 (MAFIA); Player_8 (VILLAGER); Player_9 (VILLAGER); Player_10 (MAFIA); Player_11 (DOCTOR); Player_12 (VILLAGER); Player_13 (VILLAGER); Player_14 (VILLAGER); Player_15 (MAFIA); Player_16 (VILLAGER)"
"SIM_064","16","1","4","1","1","1","8","2","3","Guardian Protection Clutch","12","Day 1: Player_1 voted out (Role: VILLAGER, Team: VILLAGERS)","IN_PROGRESS","Unknown","93.8%","Player_2 (MAFIA); Player_3 (GODFATHER); Player_4 (VILLAGER); Player_5 (MAFIA); Player_6 (VILLAGER); Player_7 (POLICE); Player_8 (VILLAGER); Player_9 (VILLAGER); Player_10 (VILLAGER); Player_11 (VILLAGER); Player_12 (MAFIA); Player_13 (MAFIA); Player_14 (VILLAGER); Player_15 (VILLAGER); Player_16 (DOCTOR)"
